Ref AMM,Detection Rule,Contract Address,Contract Name,Transactions,Transactions (More),Price-related Function,Price Oracle Contract Address,Price Oracle Contract Name,Line,Vulnerable (TP),Short Reason,Comments,Currently Vulnerable,Disclosure Progress
Curve,RT,0xc3f7ffb5d5869b3ade9448d094d81b0521e8326f,VaultUSDC,0xbadbed4de48bc810463661b1c1cce0cd358867ba68859d4b8b7f4316e1f4a656,0xce9545d6dca58ff49ca26b6de71806115e73b3be2e6b9b0ae022139d3fcfe989,calc_withdraw_one_coin,0x68e6aa634b22dd28c4c22cc9fc4c1900e8bea90b,CRVStrategyStableMainnet,982,Y,use the value return from calc_withdraw_one_coin to calculate balance,,N,N/A
Curve,RT,0x8d9d4123d48d860422667cfa95ce8ba4e0c15676,InstaAcount,0xda05ef3726b387c51220db0f510a957977e311cad9f6eda5da8d0c7a8c4ffac4,,calc_withdraw_one_coin,0xc74902ad45c8223da10efdcff2ded12184e9d9b5,ConnectCurve,440,N,Direct operation on AMM (withdraw & remove liquidity),,N,N/A
Curve,RT,0x3def81755f59026f76b15e322b19e07d741c5dbf,InstaAcount,0xdeec19467c0ddaec46b478901cac26ac901a3516508c4f255b7470fcd8f3d50e,,calc_withdraw_one_coin,0xc74902ad45c8223da10efdcff2ded12184e9d9b5,ConnectCurve,289,N,Direct operation on AMM (withdraw & remove liquidity),,N,N/A
Curve,RT,0xbcb44f0d09ac81f952539a35ab4f94260fc70bb7,bamVault (bDAI),0xe18365b0164bc73dd4984cfc0d792c95ab72d39baa15333537f800e7544bc8fe,,calc_withdraw_one_coin,0xe6f851ca226511dc54c6d8f432d70aaecf19d197,StrategyCurve3TokenPool,690,N,Manipulate on AMM pool directly,,N,N/A
Curve,RT,0x290c2df684d9dc7bd094061e5bbb562d49e6bbc5,bamVault (bUSDC),0xede96f46c102d3d39e7f720787169bf8b6aa49cac8263f0830c6a411754d0095,,calc_withdraw_one_coin,0xf59cb7e19c771afb2a636c117d4322bc403058c1,StrategyCurve3TokenPool,707,N,Direct operation on AMM (remove liquidity),"This vault is different from the other with the same name.
This one uses get_virtual_price and thus is not vulnerable.",N,N/A
Curve,RT,0xbbcae4807693d526804a9e9cbdfe02db0fd80918,Proxy -> InstaAccount,0xf58fd0294f7eca5936b63777af751d3860918aec672ee518b21e1f2f6e4cee95,,calc_withdraw_one_coin,0xc74902ad45c8223da10efdcff2ded12184e9d9b5,ConnectCurve,289,N,Direct operation on AMM (remove liquidity),,N,N/A
Curve,RT,0x3872e725863c6c671a306a50a3d6faa1e6502563,Proxy -> InstaAccount,0x2e6d04fa302429b96e69c76c97e3c49f2457aeb0bd5919b3561f11b60c930060,0x854e33e738f7a32e6699b5c6df1bb6104c8d203171faae0439bb9cf926922523,N/A,N/A,N/A,N/A,N,N/A,INVALID. Not Curve-based price oracle.,N,N/A
Curve,RT,0x73ab2bd10ad10f7174a1ad5afae3ce3d991c5047,CurveExchangeAdapter,0x85c5bd0df458da4aafb81d72e05240ab0d4b39edf3bed943744535297b6cb437,,calc_token_amount,0x73ab2bd10ad10f7174a1ad5afae3ce3d991c5047,CurveExchangeAdapter,333,N,Direct operation on AMM (add liquidity),,N,N/A
Curve,RT,0x09672362833d8f703d5395ef3252d4bfa51c15ca,Vyper_contract,0xfdfb33e1c5a6f66ad65effed128c1f8e3ea259d84bbdc27609f836be6e6c7835,,calc_token_amount,0x09672362833d8f703d5395ef3252d4bfa51c15ca,Vyper_contract,N/A,N,Direct operation on AMM (remove liquidity),This is Curve Zap and thus should be out-of-scope.,N,N/A
Uniswap,RT,0xb7bf6d2e6c4fa291d6073b51911bac17890e92ec,UniswapGoblin,0x041347385fdb63eb1a01a0a45b850e717e8599258e9e464059958ee2b6056d3b,0x1669b70f3737058ce091e004c831b82440ad5bb24769c8f6a2942188ab17b473,getReserves,0x942d9e12bc440fe9c374e67dfb0328fb1fbfcd3d,StrategyAllETHOnly,638,N,Direct operation on AMM (add liquidity),Calculate how many tokens are needed before adding liquidity.,N,N/A
